name_code	common_name	type_id
204073	清水鼠李	1
204074	塔山鼠李	1
204076	桶鉤藤	1
204078	中原氏鼠李	1
204080	畢祿山鼠李	1
204081	巒大雀梅藤	1
204082	雀梅藤	1
204083	臺灣雀梅藤	1
204084	翼核木	1
204094	蘭嶼粉藤	1
204095	翼莖粉藤	1
204098	翼柄崖爬藤	1
204100	三葉崖爬藤	1
204101	臺灣崖爬藤	1
204104	基隆葡萄	1
204105	細本葡萄	1
204106	小葉葡萄	1
204112	穗花八寶	1
204113	鵝鑾鼻燈籠草	1
204114	小燈籠草	1
204117	星果佛甲草	1
204119	杉葉佛甲草	1
204121	紅子佛甲草	1
204124	小萼佛甲草	1
204125	玉山佛甲草	1
204126	能高佛甲草	1
204127	尖萼佛甲草	1
204128	石碇佛甲草	1
204131	大葉海桐	1
204141	臺灣舖地蜈蚣	1
204142	玉山舖地蜈蚣	1
204143	樂山舖地蜈蚣	1
204147	武威山枇杷	1
204148	山枇杷	1
204149	臺灣蚊子草	1
204151	臺灣草莓	1
204158	臺東石楠	1
204159	毛瓣石楠	1
204160	石楠	1
204166	雪山翻白草	1
204168	臺灣石楠	1
204169	清水石楠	1
204170	小葉石楠	1
204171	假皂莢	1
204175	太平山櫻花	1
204181	霧社山櫻花	1
204182	山白櫻	1
204183	阿里山櫻花	1
204185	臺灣火刺木	1
204187	臺灣野梨	1
204188	恆春石斑木	1
204189	石斑木	1
204190	厚葉石斑木	1
204195	光葉薔薇	1
204197	臺灣光葉薔薇	1
204198	臺灣野薔薇	1
204199	太魯閣薔薇	1
204201	玉山野薔薇	1
204202	小金櫻	1
204206	灰葉懸鉤子	1
204209	虎婆刺	1
204210	禿懸鉤子	1
204213	梣葉懸鉤子	1
204216	桑葉懸鉤子	1
204218	蘭嶼懸鉤子	1
204221	尾葉懸鉤子	1
204222	粗毛懸鉤子	1
204224	小梣葉懸鉤子	1
204225	紅梅消	1
204226	紅梅消	1
204227	臺東紅梅消	1
204229	清水懸鉤子	1
204230	刺懸鉤子	1
204231	毛刺懸鉤子	1
204232	刺懸鉤子	1
204234	李棟山懸鉤子	1
204239	臺東刺花懸鉤子	1
204240	刺花懸鉤子	1
204241	臺東刺花懸鉤子	1
204242	臺灣莓	1
204245	玉里懸鉤子	1
204248	巒大花楸	1
204249	臺灣繡線菊	1
204250	假繡線菊	1
204251	玉山繡線菊	1
204253	太魯閣繡線菊	1
204255	落新婦	1
204256	阿里山落新婦	1
204257	臺灣草紫陽花	1
204259	大武貓兒眼睛草	1
204260	臺灣貓兒眼睛草	1
204261	心基葉溲疏	1
204263	臺灣溲疏	1
204269	長葉繡球	1
204272	小花鼠刺	1
204273	臺灣嗩吶草	1
204276	臺灣茶藨子	1
204278	圓葉鑽地風	1
204286	無刺伏牛花	1
204290	刺果豬殃殃	1
204291	圓葉豬殃殃	1
204294	森氏豬殃殃	1
204295	南湖大山豬殃殃	1
204299	太魯閣豬殃殃	1
204307	臭涼喉茶	1
204317	密毛雞屎樹	1
204318	大葉密毛雞屎樹	1
204328	小葉雞屎樹	1
204344	早田氏蛇根草	1
204364	金劍草	1
204365	林氏茜草	1
204372	薄葉玉心花	1
204383	臺灣纖花草	1
204384	褐毛柳	1
204385	薄葉柳	1
204386	褐毛柳	1
204387	白毛柳	1
204388	水社柳	1
204389	關山嶺柳	1
204390	臺灣山柳	1
204391	玉山柳	1
204392	臺灣山柳	1
204393	高山柳	1
204394	水柳	1
204401	高氏桑寄生	1
204404	大花忍冬葉桑寄生	1
204405	忍冬葉桑寄生	1
204406	松寄生	1
204408	恆春桑寄生	1
204409	杜鵑桑寄生	1
204410	李棟山桑寄生	1
204411	埔姜桑寄生	1
204412	蓮華池寄生	1
204413	臺灣槲寄生	1
204416	刀葉槲寄生	1
204421	樟葉槭	1
204422	臺灣三角楓	1
204423	尖葉槭	1
204424	臺灣紅榨槭	1
204425	臺灣掌葉槭	1
204426	青楓	1
204451	南庄橙	1
204459	山黃皮	1
204462	臺灣黃蘗	1
204464	阿里山茵芋	1
204465	顯脈茵芋	1
204474	三葉花椒	1
204478	屏東花椒	1
204484	臺灣欒樹	1
204488	臭椿	1
204492	山香圓	1
204506	大安水蓑衣	1
204512	早田氏爵床	1
204513	密毛爵床	1
204514	狹葉爵床	1
204515	爵床	1
204517	銀脈爵床	1
204521	柳葉鱗球花	1
204526	臺灣明萼草	1
204530	曲莖馬藍	1
204531	臺灣馬藍	1
204532	長穗馬藍	1
204534	蘭崁馬藍	1
204543	蘭嶼吊石苣苔	1
204544	吊石苣苔	1
204553	臺灣異葉苣苔	1
204573	玉山女貞	1
204576	無脈木犀	1
204578	高氏木犀	1
204579	銳葉木犀	1
204594	南湖碎雪草	1
204595	太魯閣小米草	1
204596	臺灣碎雪草	1
204597	玉山小米草	1
204605	桃園石龍尾	1
204618	臺南見風紅	1
204622	高山通泉草	1
204624	佛氏通泉草	1
204635	高山馬先蒿	1
204639	雙鋸齒玄參	1
204651	玉山水苦	1
204652	貧子水苦	1
204655	臺灣水苦賈	1
204657	新竹腹水草	1
204658	臺灣腹水草	1
204659	高山腹水草	1
204660	鈍葉朝顏	1
204665	日本菟絲子	1
204666	臺灣菟絲子	1
204734	白狗大山茄	1
204749	臺灣羊桃	1
204779	臺灣楊桐	1
204780	臺灣楊桐	1
204781	鈍葉楊桐	1
204782	毛柱楊桐	1
204783	細葉茶梨	1
204788	恆春山茶	1
204790	能高山茶	1
204792	臺灣山茶	1
204793	細葉山茶	1
204794	阿里山茶	1
204795	泛能高山茶	1
204803	假柃木	1
204805	厚葉柃木	1
204808	薄葉柃木	1
204810	光葉柃木	1
204811	南仁山柃木	1
204812	光葉柃木	1
204813	蓮華池柃木	1
204814	粗毛柃木	1
204815	清水山柃木	1
204817	烏皮茶	1
204845	榕樹	1
204846	厚葉榕	1
204847	傅園榕	1
204848	榕樹	1
204849	鵝鑾鼻藤榕	1
204850	小葉榕	1
204855	薜荔	1
204856	愛玉子	1
204857	薜荔	1
204858	蘭嶼落葉榕	1
